"","video_id","publishedAt","title","description","id","viewCount","likeCount","favoriteCount","commentCount"
"1","BWnj1PJir3A",2022-07-18,"CNN Employees &#39;FREAK&#39; Over Bad Ratings | Breaking Points with Krystal and Saagar","Krystal and Saagar talk about CNN's tanking ratings causing employees to freak out and blame the new strategy from ...","BWnj1PJir3A",191488,6543,0,927
"2","A9TCjN0SLtk",2022-07-19,"New Sign Housing Market On Verge Of COLLAPSE | Breaking Points with Krystal and Saagar","Krystal and Saagar dive into the latest housing market numbers that could indicate a collapse coming soon To become a Breaking ...","A9TCjN0SLtk",196477,6422,0,1645
"3","NY8BWnmbMSM",2022-06-02,"Saagar Enjeti: A Working Class Recession Is Coming, Biden Is Doing NOTHING","Saagar takes viewers through the economic factors causing massive losses in corporate earnings and concerning metrics for ...","NY8BWnmbMSM",166725,6400,0,1046
"4","byEeNFaBXLI",2022-06-06,"CNN BANS &#39;Breaking News Banner&#39; Tries To Book SAAGAR | Breaking Points with Krystal and Saagar","Krystal and Saagar give their perspective on CNN getting rid of the constant 'Breaking News' banner on the screen and the ...","byEeNFaBXLI",264254,9502,0,1022
"5","ZSeJvA43UU4",2022-04-15,"Stelter Told CNN Partisan TO HIS FACE By Yale Researcher | Breaking Points with Krystal and Saagar","Krystal and Saagar look at how Brian Stelter covered a Yale report previously discussed on Breaking Points about how partisan ...","ZSeJvA43UU4",224101,8698,0,1106
"6","0WMVUh0_mZM",2022-07-11,"Kamala Delivers GOBBLEDYGOOK Answer On Abortion | Breaking Points with Krystal and Saagar","Krystal and Saagar lambast Vice President Kamala Harris for her gobbledygook answer when asked about abortion action and ...","0WMVUh0_mZM",132243,4806,0,836
"7","E6gsBgDkpyw",2022-06-06,"Legal Bytes: How Taylor Lorenz LIED AND SMEARED Me For Depp, Heard Coverage | Breaking Points","Krystal and Saagar talk to lawyer and legal commentator Alina Mazeika known as Legal Bytes about the smears towards her by ...","E6gsBgDkpyw",286481,10749,0,1184
"8","gP1AqZjsCww",2022-06-13,"WAPO FINALLY Fires Unhinged Reporter Who Trashed Colleagues |Breaking Points with Krystal and Saagar","Krystal and Saagar comment on the WaPo firing reporter Felicia Sonmez after her week of unhinged trashing of colleagues online ...","gP1AqZjsCww",120070,4282,0,583
"9","f1VJlkb1SXw",2022-04-04,"Saagar Enjeti: NBC, WaPo Reporters Say Criticizing Them Is HARASSMENT","Saagar analyzes the methods being used by elite reporters at NBC, Washington Post, and elsewhere in mainstream media to ...","f1VJlkb1SXw",214136,11741,0,1849
"10","F505cUctH5s",2022-07-12,"Dem Bloodbath IMMINENT In House | Breaking Points with Krystal and Saagar","Krystal and Saagar cover the impending bloodbath for Democrats in House elections nationwide in the 2022 midterms that could ...","F505cUctH5s",139315,4176,0,974
"11","fMkbOTLj9Z0",2022-06-21,"Krystal Ball: COLLAPSE! Is Economy As We Know It OVER?","Krystal analyzes how the US economic paradigm built off cheap credit and bailouts of the financial system from the Federal ...","fMkbOTLj9Z0",210661,8238,0,1657
"12","wSOVifhZyJc",2022-05-09,"Rand Paul SHREDS DHS Secretary Over Ministry Of Truth | Breaking Points with Krystal and Saagar","Krystal and Saagar comment on the concerns raised by GOP Sen. Rand Paul about the DHS 'disinformation' board and the threat ...","wSOVifhZyJc",194561,10749,0,1587
"13","F4pzlrAidoo",2022-05-25,"Will Fed TRIGGER Housing Market COLLAPSE? | Breaking Points with Krystal and Saagar","Krystal and Saagar dive into the shifts in the housing market that took place in April where the rates of home buying tanked after ...","F4pzlrAidoo",107942,3416,0,909
"14","gRnFca9ku68",2022-04-26,"BILLIONAIRE BRAWL: JEALOUS Bezos Throws Shade At Elon | Breaking Points with Krystal and Saagar","Krystal and Saagar explore the jabs sent by Jeff Bezos towards Elon Musk after the Twitter sale was confirmed in what marks a ...","gRnFca9ku68",145444,4806,0,828
"15","0-NgXzkrIHA",2022-07-04,"Republicans SHOCKED At Dem Inaction On Roe | Breaking Points with Krystal and Saagar","Krystal and Saagar cover the reports of GOP operatives being surprised at how little Democrats are doing on Roe and the ...","0-NgXzkrIHA",123683,4808,0,1322
