"","rising_new$video_id"
"1","udWvb1E7nBo"
"2","tpOiGqyvkYA"
"3","Krru5HycLSo"
"4","cbIvbwybmYM"
"5","cCHju8EJJ70"
"6","hCRcle94Oa8"
"7","TYD1UzFi6Is"
"8","HBQBkmEHAJU"
"9","JkG25DMfgFA"
"10","pE0TzatYgzI"
"11","K4aPZa0FFM0"
"12","FMxRZy0YAAA"
"13","qYNlC25OmoQ"
"14","mPJ0PbIpZXA"
"15","7rVIqdaHjHI"
"16","dxiRTIwpVSk"
"17","ckpYx47hqQA"
"18","Rt6TEjwxbCQ"
"19","N2MarwoGvCQ"
"20","QEReC5HtZQo"
"21","i-vsL90Gx0E"
"22","vRRWV_QveFU"
"23","1w1ZQvF4NAc"
"24","adPngTVgfbg"
"25","XkVWUu-_jh4"
"26","vxVIG9ItRc0"
"27","8f4QofNoYf8"
"28","EJzlbDA7H1k"
"29","hdmCXthK7yc"
"30","Dgiuy7n8TXs"
"31","QAoKqpLSHC4"
"32","htKXBEzRYuw"
"33","Mvc3sSL6mW0"
"34","VVrskM-JIME"
"35","3V8CYF-z4eI"
"36","Zo4Tu-EWCAM"
"37","lXujM0Aic0M"
"38","_WFibW1rJi0"
"39","tbHcARcvZiI"
"40","cer0_01K76o"
"41","UEwkWlgveTE"
"42","B_T9IqzLyuA"
"43","8mn6vuCBxYk"
"44","5rbQ8rmXJsE"
"45","F0kTg7Krs00"
"46","ARq3_FTE80k"
"47","3tK_OfbBUd0"
"48","FOYseC8buUk"
"49","h_0yuPOAsCM"
"50","iE2TDP27aUg"
"51","AR8Cs7g0KL0"
"52","Oi1hwDfAwwc"
"53","t8PnjS2FHLY"
"54","Ky-i2z2Gk7c"
"55","oEbVBi1f0e8"
"56","9SD2kMYhK5A"
"57","A-te4nwj9Z4"
"58","NIv0vmtzofc"
"59","E8VnPCFvWQM"
"60","98cXig0hOVw"
"61","T2ZNQ4AGddo"
"62","HKz4qJv-MNE"
"63","zZdvLlSPhJA"
"64","mfiaFE6rpfE"
"65","CjvgjUWIZHA"
"66","UtMBJ19r7c8"
"67","s5C-3UMdxvs"
"68","EE99szM1l1k"
"69","u51s3VrcHdY"
"70","dhAKZSXcsKo"
"71","HLX-4bEVGI4"
"72","XygJ45hQrYM"
"73","yH-bbwGj5zU"
"74","--hWjFbvsrc"
"75","IyIpazg83T8"
"76","WEHWRTrOuh8"
"77","LRxrwqaYgVk"
"78","EapWRy-6C3o"
"79","ktdNFeOi4BU"
"80","WqGSJ9Purfg"
"81","Qd5V2DuDYRU"
"82","hJFN_nYJ69k"
"83","1fxvuBFAXvY"
"84","dJasxteKye4"
"85","uQ_KO6NpUwQ"
"86","MmO5YULUWY8"
"87","PQi16uY395s"
"88","t_3aUlcIvyU"
"89","602dZTJ83aM"
"90","ArchkJrSOsE"
"91","BvsyOKBZ8D0"
"92","BRsyhO19TcU"
"93","SZJkooiSM0c"
"94","0IUjlJu3s6Y"
"95","Br6HlVstct8"
"96","ondRArdQAJU"
"97","Oi8UCsXdcR4"
"98","XHkmwvDXxEs"
"99","xENuTgFpCbo"
"100","f40TOeDnQeQ"
"101","m8b5GjhAL-8"
"102","cF-gkWI8-Ak"
"103","you6k9GEJQY"
"104","AXdQVjwDhWY"
"105","5FNjOTMacV4"
"106","17839"
"107","3455"
"108","72189"
"109","35448"
"110","20318"
"111","73432"
"112","25304"
"113","19324"
"114","27423"
"115","83051"
"116","16058"
"117","28614"
"118","55085"
"119","9379"
"120","60756"
"121","21637"
"122","26917"
"123","48001"
"124","42814"
"125","11574"
"126","28461"
"127","35278"
"128","57251"
"129","23720"
